Sequence,Date,Value1,Value2,Value3,Value4,Value5,Value6
2349,2021-03-03,54,25,05,10,49,32
2348,2021-02-27,02,03,51,48,54,07
2347,2021-02-24,17,58,09,60,30,08
2346,2021-02-20,04,58,03,40,11,42
2345,2021-02-17,16,22,07,55,19,28
2344,2021-02-13,38,11,52,57,17,25
2343,2021-02-10,56,49,31,04,45,42
2342,2021-02-06,20,24,17,27,40,60
2341,2021-02-03,09,46,04,32,31,42
2340,2021-01-30,49,41,16,51,28,21
2339,2021-01-28,04,48,59,29,47,18
2338,2021-01-26,21,08,34,47,42,23
2337,2021-01-23,02,51,49,09,34,55
2336,2021-01-20,20,27,50,08,10,28
2335,2021-01-16,18,42,49,47,09,23
2334,2021-01-13,22,04,20,25,13,60
2333,2021-01-09,41,53,55,09,16,31
2332,2021-01-06,12,33,44,52,35,36
2331,2021-01-02,53,16,11,57,13,36
2330,2020-12-31,22,35,17,41,20,42
2329,2020-12-19,42,28,45,14,12,55
2328,2020-12-16,11,08,39,14,48,53
2327,2020-12-12,54,45,30,57,37,58
2326,2020-12-10,27,36,34,16,57,10
2325,2020-12-08,33,37,60,34,46,52
2324,2020-12-05,31,02,43,19,60,16
2323,2020-12-02,35,27,39,20,50,59
2322,2020-11-28,05,10,02,29,34,41
2321,2020-11-25,41,43,25,28,14,46
2320,2020-11-21,30,06,35,48,39,42
2319,2020-11-18,17,25,06,35,49,40
2318,2020-11-14,54,58,52,28,44,60
2317,2020-11-11,35,48,30,33,03,08
2316,2020-11-07,49,11,56,43,52,02
2315,2020-11-04,10,17,01,26,30,53
2314,2020-10-31,28,06,07,42,45,49
2313,2020-10-28,45,03,58,26,20,49
2312,2020-10-24,60,39,03,46,47,27
2311,2020-10-22,60,09,35,43,05,03
2310,2020-10-20,13,42,17,28,53,29
2309,2020-10-17,33,60,11,29,09,30
2308,2020-10-14,26,09,58,38,60,13
2307,2020-10-10,38,53,46,55,33,16
2306,2020-10-07,28,58,19,03,57,33
2305,2020-10-03,57,55,38,07,16,22
2304,2020-09-30,12,54,57,21,29,56
2303,2020-09-26,17,50,48,20,03,07
2302,2020-09-23,44,43,25,18,27,22
2301,2020-09-19,18,36,47,52,35,17
2300,2020-09-17,37,39,21,09,54,43
2299,2020-09-15,03,40,19,60,02,44
2298,2020-09-12,13,21,49,41,17,31
2297,2020-09-09,20,22,41,59,35,40
2296,2020-09-05,29,06,36,59,21,01
2295,2020-09-02,28,06,41,26,35,13
2294,2020-08-29,09,43,20,41,33,15
2293,2020-08-26,01,48,42,10,02,37
2292,2020-08-22,18,57,06,33,42,16
2291,2020-08-19,37,31,26,12,36,49
2290,2020-08-15,60,36,05,57,44,18
2289,2020-08-13,06,34,37,38,45,09
2288,2020-08-11,35,39,02,26,56,40
2287,2020-08-08,29,04,02,41,06,56
2286,2020-08-05,42,43,41,09,21,30
2285,2020-08-01,12,10,33,07,42,01
2284,2020-07-29,46,36,12,10,04,14
2283,2020-07-25,24,04,37,43,59,60
2282,2020-07-22,30,52,12,27,36,45
2281,2020-07-18,35,40,14,55,50,27
2280,2020-07-16,50,28,58,29,59,31
2279,2020-07-14,28,12,20,05,27,14
2278,2020-07-11,34,17,37,43,08,45
2277,2020-07-08,23,10,53,60,22,37
2276,2020-07-04,49,27,05,18,57,15
2275,2020-07-01,25,50,02,53,04,36
2274,2020-06-27,08,55,40,11,33,17
2273,2020-06-24,58,15,20,16,38,40
2272,2020-06-20,05,41,11,49,24,02
2271,2020-06-17,06,10,41,52,27,28
2270,2020-06-13,41,16,48,14,38,39
2269,2020-06-10,55,14,23,29,11,01
2268,2020-06-06,04,30,52,23,13,28
2267,2020-06-03,48,49,53,20,32,33
2266,2020-05-30,23,37,59,10,58,31
2265,2020-05-27,50,20,46,23,14,39
2264,2020-05-23,29,19,08,02,37,03
2263,2020-05-20,43,49,57,33,09,24
2262,2020-05-16,07,30,46,23,08,14
2261,2020-05-13,23,26,51,27,29,07
2260,2020-05-09,37,12,14,34,35,47
2259,2020-05-07,54,56,58,20,27,41
2258,2020-05-05,26,07,01,23,14,05
2257,2020-05-02,18,30,21,31,34,51
2256,2020-04-29,09,37,30,10,54,47
2255,2020-04-25,20,15,57,49,39,41
2254,2020-04-22,47,04,24,44,56,09
2253,2020-04-18,32,39,55,33,52,31
2252,2020-04-15,46,50,01,17,37,30
2251,2020-04-11,58,22,26,15,54,05
2250,2020-04-08,39,52,27,57,58,33
2249,2020-04-04,04,49,09,31,47,53
2248,2020-04-01,20,09,42,29,30,15
2247,2020-03-28,42,53,47,01,44,48
2246,2020-03-25,09,33,46,24,27,05
2245,2020-03-21,33,11,14,34,15,18
2244,2020-03-18,11,05,42,03,34,37
2243,2020-03-14,14,38,28,18,35,54
2242,2020-03-12,24,42,18,05,25,09
2241,2020-03-10,56,18,26,13,01,40
2240,2020-03-07,25,09,07,10,58,19
2239,2020-03-04,27,39,07,31,46,45
2238,2020-02-29,57,36,11,58,55,45
2237,2020-02-27,60,27,28,20,53,11
2236,2020-02-22,07,53,43,20,45,38
2235,2020-02-19,14,55,35,30,18,57
2234,2020-02-15,47,29,42,04,27,21
2233,2020-02-12,45,35,06,41,04,32
2232,2020-02-08,31,34,38,47,07,08
2231,2020-02-05,04,13,53,40,25,57
2230,2020-02-01,39,17,56,60,26,07
2229,2020-01-29,06,41,40,29,58,11
2228,2020-01-25,19,45,39,09,23,32
2227,2020-01-23,09,06,27,32,12,57
2226,2020-01-21,02,07,38,30,04,16
2225,2020-01-18,01,37,47,44,46,32
2224,2020-01-15,23,50,58,32,52,16
2223,2020-01-11,49,26,02,56,40,42
2222,2020-01-08,14,48,30,29,59,13
2221,2020-01-04,23,34,45,57,05,56
2220,2019-12-31,38,58,35,03,40,57
2219,2019-12-21,57,59,45,08,28,36
2218,2019-12-19,16,06,38,22,52,48
2217,2019-12-17,16,32,36,30,14,10
2216,2019-12-14,24,42,48,10,43,49
2215,2019-12-11,21,23,43,01,19,33
2214,2019-12-07,18,30,04,10,34,47
2213,2019-12-04,07,05,10,60,32,46
2212,2019-11-30,51,58,53,52,26,23
2211,2019-11-27,27,44,36,54,41,40
2210,2019-11-23,11,33,34,25,24,17
2209,2019-11-20,32,22,47,28,33,25
2208,2019-11-16,30,45,16,49,25,40
2207,2019-11-13,43,11,06,55,53,10
2206,2019-11-09,42,38,45,06,27,57
2205,2019-11-06,21,42,12,57,37,28
2204,2019-11-04,32,56,29,28,01,35
2203,2019-10-30,34,46,57,50,17,49
2202,2019-10-26,43,60,37,38,29,11
2201,2019-10-24,13,49,03,41,53,23
2200,2019-10-22,28,55,36,43,11,15
2199,2019-10-19,38,23,30,44,35,15
2198,2019-10-16,56,11,34,44,36,01
2197,2019-10-14,29,11,03,35,44,57
2196,2019-10-09,56,28,27,01,41,25
2195,2019-10-05,24,32,38,53,46,14
2194,2019-10-02,16,08,20,21,34,31
2193,2019-09-28,08,07,42,27,29,22
2192,2019-09-26,57,53,07,59,16,37
2191,2019-09-24,33,46,26,04,53,08
2190,2019-09-21,53,35,25,09,05,20
2189,2019-09-18,33,29,11,04,16,22
2188,2019-09-14,60,51,21,28,02,17
2187,2019-09-11,16,21,50,10,46,11
2186,2019-09-09,27,19,12,41,18,46
2185,2019-09-04,19,42,18,47,22,09
2184,2019-08-31,51,15,52,36,59,45
2183,2019-08-28,51,13,43,30,34,26
2182,2019-08-24,59,47,46,19,39,22
2181,2019-08-21,08,01,19,48,36,33
2180,2019-08-17,16,12,10,21,28,38
2179,2019-08-14,24,02,35,54,50,13
2178,2019-08-10,16,21,42,02,50,56
2177,2019-08-08,14,09,48,11,31,51
2176,2019-08-06,23,08,25,43,39,44
2175,2019-08-03,55,53,07,32,43,25
2174,2019-07-31,36,10,34,15,60,56
2173,2019-07-27,09,48,44,42,02,50
2172,2019-07-24,09,57,43,37,28,24
2171,2019-07-20,19,12,13,36,55,44
2170,2019-07-17,36,21,51,10,24,38
2169,2019-07-13,45,07,34,59,51,54
2168,2019-07-11,37,25,29,04,01,27
2167,2019-07-09,37,45,38,43,54,27
2166,2019-07-06,44,03,34,56,19,58
2165,2019-07-03,56,49,54,43,05,37
2164,2019-06-29,48,17,58,47,16,25
2163,2019-06-26,45,20,24,36,18,08
2162,2019-06-22,11,30,42,34,16,22
2161,2019-06-19,24,10,08,44,09,42
2160,2019-06-15,53,49,01,46,47,19
2159,2019-06-12,53,35,38,14,45,26
2158,2019-06-08,09,27,46,59,35,45
2157,2019-06-05,34,48,31,39,33,35
2156,2019-06-01,49,39,23,06,26,01
2155,2019-05-29,37,44,02,27,06,47
2154,2019-05-25,53,41,47,50,07,25
2153,2019-05-22,13,28,31,08,33,32
2152,2019-05-18,49,36,29,26,59,50
2151,2019-05-15,36,38,02,29,14,18
2150,2019-05-11,38,24,23,26,42,49
2149,2019-05-08,21,48,46,23,44,37
2148,2019-05-04,59,33,08,58,32,15
2147,2019-05-02,49,42,17,19,37,41
2146,2019-04-27,39,42,16,18,44,31
2145,2019-04-24,06,59,28,08,51,53
2144,2019-04-20,21,33,55,16,07,60
2143,2019-04-17,12,58,35,51,02,57
2142,2019-04-13,44,50,52,57,07,40
2141,2019-04-10,10,19,11,37,41,17
2140,2019-04-06,20,54,36,17,42,26
2139,2019-04-03,58,29,23,41,14,57
2138,2019-03-30,30,34,04,21,13,14
2137,2019-03-27,02,01,49,11,12,34
2136,2019-03-23,35,22,11,01,30,08
2135,2019-03-20,23,48,59,28,40,09
2134,2019-03-16,54,06,46,21,59,34
2133,2019-03-13,26,20,19,51,52,57
2132,2019-03-09,05,60,18,39,35,30
2131,2019-03-06,28,18,20,06,02,03
2130,2019-03-02,13,53,16,36,55,54
2129,2019-02-28,60,46,12,06,32,31
2128,2019-02-26,24,55,46,16,11,54
2127,2019-02-23,07,46,28,30,44,01
2126,2019-02-20,58,39,27,07,24,12
2125,2019-02-16,44,01,31,53,46,58
2124,2019-02-13,31,20,47,43,02,11
2123,2019-02-09,47,59,14,56,50,15
2122,2019-02-06,27,21,03,11,15,49
2121,2019-02-02,37,08,17,29,10,40
2120,2019-01-30,38,41,20,24,25,13
2119,2019-01-26,42,49,26,31,19,21
2118,2019-01-23,41,11,12,46,20,40
2117,2019-01-19,28,43,04,29,52,30
2116,2019-01-17,21,19,01,09,34,54
2115,2019-01-15,19,40,35,44,27,04
2114,2019-01-12,35,17,30,25,42,57
2113,2019-01-09,11,21,46,14,25,50
2112,2019-01-05,17,46,43,53,52,39
2111,2019-01-02,54,41,01,46,58,44
2110,2018-12-31,25,33,10,12,18,05
2109,2018-12-20,04,16,44,49,12,34
2108,2018-12-18,44,59,29,19,41,22
2107,2018-12-15,50,44,60,38,56,08
2106,2018-12-12,27,03,39,40,36,43
2105,2018-12-08,16,46,13,11,24,31
2104,2018-12-06,12,45,10,56,02,27
2103,2018-12-04,13,40,50,46,03,44
2102,2018-12-01,06,04,17,57,34,51
2101,2018-11-28,58,56,18,08,02,37
2100,2018-11-24,01,35,13,11,10,49
2099,2018-11-21,30,15,05,58,20,27
2098,2018-11-17,02,38,27,60,18,08
2097,2018-11-14,51,28,24,49,09,45
2096,2018-11-10,11,51,06,24,13,19
2095,2018-11-07,49,29,56,43,35,16
2094,2018-11-03,04,33,16,44,19,31
2093,2018-10-31,54,34,52,08,14,27
2092,2018-10-27,13,17,27,11,15,22
2091,2018-10-25,12,11,10,59,38,37
2090,2018-10-23,11,08,18,40,37,51
2089,2018-10-20,38,48,05,49,10,32
2088,2018-10-17,24,03,27,38,14,56
2087,2018-10-13,19,18,53,34,02,23
2086,2018-10-10,04,53,35,43,47,46
2085,2018-10-06,25,49,12,21,38,37
2084,2018-10-03,20,37,26,07,39,38
2083,2018-09-29,56,33,01,19,18,60
2082,2018-09-26,25,33,42,49,06,48
2081,2018-09-22,40,42,13,18,35,41
2080,2018-09-20,58,55,46,22,40,10
2079,2018-09-18,55,37,58,14,02,01
2078,2018-09-15,30,36,02,11,39,15
2077,2018-09-12,37,13,16,26,39,35
2076,2018-09-08,06,15,43,05,12,22
2075,2018-09-05,07,09,23,33,57,59
2074,2018-09-01,42,08,18,37,58,23
2073,2018-08-29,55,12,15,30,52,18
2072,2018-08-25,22,13,10,20,12,54
2071,2018-08-22,35,46,34,60,24,33
2070,2018-08-18,05,26,42,27,48,34
2069,2018-08-16,40,03,48,17,34,35
2068,2018-08-14,05,47,40,09,42,03
2067,2018-08-11,59,02,11,32,26,13
2066,2018-08-08,27,55,35,06,25,45
2065,2018-08-04,04,11,43,20,30,37
2064,2018-08-01,55,53,14,10,36,60
2063,2018-07-28,10,19,29,24,06,25
2062,2018-07-25,08,15,34,25,10,23
2061,2018-07-21,33,45,44,40,36,54
2060,2018-07-18,11,39,41,09,25,08
2059,2018-07-14,05,04,36,56,40,44
2058,2018-07-11,19,04,23,29,59,56
2057,2018-07-07,37,38,20,13,10,54
2056,2018-07-05,29,47,22,36,34,18
2055,2018-07-03,53,43,46,25,35,06
2054,2018-06-30,39,04,07,12,26,22
2053,2018-06-27,12,27,40,37,22,55
2052,2018-06-23,57,50,56,51,58,59
2051,2018-06-20,37,05,44,01,53,06
2050,2018-06-16,33,50,38,32,08,31
2049,2018-06-13,19,10,27,31,51,53
2048,2018-06-09,10,39,38,35,26,19
2047,2018-06-06,18,19,44,54,01,29
2046,2018-06-02,27,11,06,28,46,03
2045,2018-05-30,27,46,15,25,50,45
2044,2018-05-26,14,07,60,54,47,56
2043,2018-05-23,53,58,21,38,57,56
2042,2018-05-19,33,32,22,29,35,14
2041,2018-05-16,10,12,54,42,22,25
2040,2018-05-12,56,58,54,06,41,09
2039,2018-05-10,28,22,06,31,44,12
2038,2018-05-08,26,35,40,25,06,38
2037,2018-05-05,60,30,14,45,23,16
2036,2018-05-02,23,58,08,19,27,07
2035,2018-04-28,52,35,49,30,38,36
2034,2018-04-25,07,56,22,13,06,17
2033,2018-04-20,40,10,18,33,38,43
2032,2018-04-17,19,39,20,53,14,06
2031,2018-04-14,23,39,18,55,50,37
2030,2018-04-11,38,04,58,40,27,59
2029,2018-04-07,15,37,18,33,40,06
2028,2018-04-04,07,42,58,36,24,11
2027,2018-03-31,11,15,39,37,29,44
2026,2018-03-28,51,33,23,52,31,10
2025,2018-03-24,52,56,04,24,46,55
2024,2018-03-21,29,16,20,35,47,23
2023,2018-03-17,23,56,08,07,01,06
2022,2018-03-14,28,60,52,45,04,48
2021,2018-03-10,32,37,40,60,07,14
2020,2018-03-07,02,46,57,60,48,36
2019,2018-03-03,41,46,54,59,23,52
2018,2018-02-28,55,11,27,22,25,59
2017,2018-02-24,56,10,11,02,38,24
2016,2018-02-21,11,17,48,18,04,21
2015,2018-02-17,18,58,32,39,27,17
2014,2018-02-14,46,32,16,56,40,53
2013,2018-02-10,06,36,53,30,56,23
2012,2018-02-08,11,51,36,08,35,27
2011,2018-02-06,28,35,58,54,02,32
2010,2018-02-03,18,56,08,34,39,10
2009,2018-01-31,01,48,50,44,37,46
2008,2018-01-27,27,22,58,33,59,42
2007,2018-01-24,41,14,54,04,39,58
2006,2018-01-20,20,09,01,14,54,25
2005,2018-01-17,22,19,33,11,53,34
2004,2018-01-13,45,35,01,23,05,14
2003,2018-01-10,40,50,43,28,51,34
2002,2018-01-06,59,46,28,38,04,30
2001,2018-01-03,22,20,52,60,42,36
2000,2017-12-31,06,37,34,10,03,17
1999,2017-12-21,42,38,49,15,50,37
1998,2017-12-19,57,21,24,52,25,08
1997,2017-12-16,14,07,35,01,31,46
1996,2017-12-13,56,21,20,07,40,24
1995,2017-12-09,14,37,39,26,35,29
1994,2017-12-06,44,05,32,02,12,40
1993,2017-12-02,50,57,48,17,06,33
1992,2017-11-29,21,11,13,53,54,05
1991,2017-11-25,19,34,44,36,20,28
1990,2017-11-22,37,26,11,24,59,34
1989,2017-11-18,40,58,30,32,15,22
1988,2017-11-16,05,39,10,54,46,42
1987,2017-11-11,10,58,14,45,31,34
1986,2017-11-09,55,23,44,43,36,56
1985,2017-11-07,09,36,29,28,34,55
1984,2017-11-04,43,32,21,50,35,29
1983,2017-11-01,14,22,06,05,10,36
1982,2017-10-28,46,24,20,04,50,14
1981,2017-10-25,15,06,39,19,37,53
1980,2017-10-21,18,16,12,34,37,17
1979,2017-10-19,38,23,45,32,29,22
1978,2017-10-17,06,02,57,22,55,44
1977,2017-10-14,28,03,32,34,37,16
1976,2017-10-11,52,14,19,12,59,25
1975,2017-10-07,08,24,47,26,11,57
1974,2017-10-04,19,57,38,54,04,27
1973,2017-09-30,17,16,60,12,52,01
1972,2017-09-27,20,09,59,54,16,57
1971,2017-09-23,54,10,52,41,44,04
1970,2017-09-21,10,18,24,05,39,52
1969,2017-09-19,30,59,20,32,08,48
1968,2017-09-16,35,48,44,39,36,52
1967,2017-09-13,32,39,13,54,30,46
1966,2017-09-09,19,10,32,60,13,40
1965,2017-09-06,28,26,55,38,48,35
1964,2017-09-02,32,27,48,36,02,50
1963,2017-08-30,34,60,05,04,07,42
1962,2017-08-26,39,05,06,53,15,25
1961,2017-08-23,50,30,25,17,32,26
1960,2017-08-19,43,39,18,25,37,01
1959,2017-08-16,56,43,21,08,27,35
1958,2017-08-12,55,34,22,20,24,15
1957,2017-08-10,23,47,29,02,14,22
1956,2017-08-08,20,40,28,05,08,45
1955,2017-08-05,15,41,45,33,36,27
1954,2017-08-02,40,09,49,25,35,33
1953,2017-07-29,45,29,42,09,43,26
1952,2017-07-26,09,21,53,36,52,38
1951,2017-07-22,55,14,16,21,33,19
1950,2017-07-19,32,21,10,48,34,57
1949,2017-07-15,30,01,14,56,22,06
1948,2017-07-12,28,33,20,24,57,12
1947,2017-07-08,52,59,55,40,08,33
1946,2017-07-06,06,39,04,44,52,60
1945,2017-07-04,08,54,21,10,45,04
1944,2017-07-01,08,57,47,39,09,59
1943,2017-06-28,43,11,39,09,30,12
1942,2017-06-24,48,20,43,18,06,24
1941,2017-06-21,38,01,09,48,49,24
1940,2017-06-17,36,16,09,47,13,17
1939,2017-06-14,39,29,24,52,07,45
1938,2017-06-10,10,54,42,16,40,32
1937,2017-06-07,10,29,24,43,06,55
1936,2017-06-03,51,40,52,24,12,03
1935,2017-05-31,24,17,10,01,03,23
1934,2017-05-27,56,39,35,08,23,59
1933,2017-05-24,15,19,35,59,14,02
1932,2017-05-20,55,21,16,44,29,10
1931,2017-05-17,34,08,02,15,09,22
1930,2017-05-13,17,56,37,52,18,04
1929,2017-05-11,10,52,23,36,03,43
1928,2017-05-09,28,51,59,26,53,10
1927,2017-05-06,11,05,30,31,13,19
1926,2017-05-03,46,03,02,30,14,20
1925,2017-04-29,47,43,38,01,17,45
1924,2017-04-26,16,52,53,58,30,12
1923,2017-04-22,46,34,59,45,09,42
1922,2017-04-19,20,41,22,36,43,38
1921,2017-04-15,19,10,16,15,28,35
1920,2017-04-12,39,45,31,25,43,33
1919,2017-04-08,60,28,54,37,45,11
1918,2017-04-05,22,17,50,38,20,16
1917,2017-04-01,04,36,25,21,46,33
1916,2017-03-29,03,50,18,23,09,52
1915,2017-03-25,57,21,02,33,20,48
1914,2017-03-22,39,33,29,16,44,42
1913,2017-03-18,14,56,52,17,04,43
1912,2017-03-15,42,10,33,36,13,35
1911,2017-03-11,32,16,33,23,18,30
1910,2017-03-08,09,06,39,15,22,48
1909,2017-03-04,47,43,45,40,57,11
1908,2017-03-01,10,27,57,13,23,04
1907,2017-02-25,03,48,44,35,25,38
1906,2017-02-23,27,40,33,06,39,60
1905,2017-02-21,43,54,29,57,35,56
1904,2017-02-18,21,18,56,15,51,12
1903,2017-02-15,09,43,10,15,45,28
1902,2017-02-11,25,18,02,21,09,07
1901,2017-02-08,30,53,26,11,37,12
1900,2017-02-04,46,11,08,43,28,27
1899,2017-02-01,48,35,44,23,36,20
1898,2017-01-28,53,12,58,55,34,45
1897,2017-01-25,52,09,58,47,22,25
1896,2017-01-21,25,06,14,21,03,15
1895,2017-01-18,03,05,02,34,10,15
1894,2017-01-14,31,35,57,54,21,53
1893,2017-01-11,17,58,45,19,28,16
1892,2017-01-07,50,22,06,37,30,17
1891,2017-01-04,47,01,03,19,23,58
1890,2016-12-31,05,24,51,22,11,53
1889,2016-12-24,30,25,23,44,28,16
1888,2016-12-22,48,01,18,45,17,10
1887,2016-12-20,23,56,41,46,34,11
1886,2016-12-17,07,40,54,15,03,45
1885,2016-12-14,59,07,18,23,32,14
1884,2016-12-10,38,01,32,04,23,59
1883,2016-12-07,28,59,16,47,27,60
1882,2016-12-03,41,35,37,10,19,09
1881,2016-11-30,30,10,53,44,03,56
1880,2016-11-26,19,51,56,16,05,37
1879,2016-11-23,20,58,10,59,57,05
1878,2016-11-19,56,26,40,16,57,12
1877,2016-11-16,35,13,32,16,24,23
1876,2016-11-12,07,18,51,41,44,39
1875,2016-11-10,53,45,47,01,52,55
1874,2016-11-08,43,28,10,37,47,44
1873,2016-11-05,25,05,53,28,41,54
1872,2016-11-03,39,11,56,46,13,25
1871,2016-10-29,17,58,33,52,11,03
1870,2016-10-26,30,40,33,18,20,32
1869,2016-10-22,11,26,24,52,40,23
1868,2016-10-20,25,05,31,01,28,23
1867,2016-10-18,03,43,21,17,22,10
1866,2016-10-15,14,36,60,38,17,44
1865,2016-10-13,42,05,32,37,01,31
1864,2016-10-08,05,04,37,40,60,14
1863,2016-10-05,23,45,16,58,59,56
1862,2016-10-01,08,49,35,42,56,02
1861,2016-09-28,45,09,60,02,35,04
1860,2016-09-24,10,40,30,44,36,60
1859,2016-09-22,13,26,01,21,14,51
1858,2016-09-20,55,30,28,59,33,22
1857,2016-09-17,53,35,52,25,23,13
1856,2016-09-14,14,09,02,32,22,37
1855,2016-09-10,06,38,24,39,15,10
1854,2016-09-08,59,30,43,31,34,25
1853,2016-09-03,02,41,39,01,34,45
1852,2016-08-31,29,13,49,50,45,17
1851,2016-08-27,35,22,08,37,21,18
1850,2016-08-24,24,32,23,40,41,38
1849,2016-08-20,35,27,03,11,44,05
1848,2016-08-17,58,41,50,40,09,55
1847,2016-08-13,45,01,57,49,50,06
1846,2016-08-11,49,26,30,34,24,06
1845,2016-08-09,09,03,29,13,30,51
1844,2016-08-06,04,03,37,39,48,50
1843,2016-08-03,28,26,33,41,08,54
1842,2016-07-30,18,43,22,24,16,34
1841,2016-07-27,06,51,13,38,49,03
1840,2016-07-23,33,41,48,15,17,47
1839,2016-07-20,28,32,22,56,58,07
1838,2016-07-16,59,24,30,08,57,05
1837,2016-07-14,41,48,57,50,44,54
1836,2016-07-12,59,18,45,60,08,15
1835,2016-07-09,50,36,08,28,47,58
1834,2016-07-06,02,22,51,24,48,17
1833,2016-07-02,02,42,03,27,16,07
1832,2016-06-29,34,47,57,56,14,46
1831,2016-06-25,55,15,48,32,28,27
1830,2016-06-22,29,03,54,07,37,60
1829,2016-06-18,53,32,30,07,24,13
1828,2016-06-15,40,32,11,06,59,48
1827,2016-06-11,43,33,53,26,54,42
1826,2016-06-09,43,48,32,19,17,51
1825,2016-06-07,21,54,10,50,51,11
1824,2016-06-04,19,30,60,12,06,05
1823,2016-06-01,54,34,59,21,09,04
1822,2016-05-28,22,53,26,01,43,50
1821,2016-05-25,53,31,19,52,36,22
1820,2016-05-21,27,19,23,03,45,40
1819,2016-05-18,37,26,18,30,33,17
1818,2016-05-14,10,53,15,02,06,56
1817,2016-05-11,47,01,26,55,39,04
1816,2016-05-07,12,10,46,28,22,05
1815,2016-05-05,60,08,25,39,41,11
1814,2016-05-03,53,51,27,11,46,09
1813,2016-04-30,51,09,13,15,19,11
1812,2016-04-27,45,34,23,20,37,32
1811,2016-04-23,32,37,05,35,17,57
1810,2016-04-20,56,10,43,50,01,25
1809,2016-04-16,23,12,54,46,09,24
1808,2016-04-13,20,25,45,02,41,14
1807,2016-04-09,43,15,22,01,16,25
1806,2016-04-06,11,42,55,58,35,20
1805,2016-04-02,17,49,27,22,57,31
1804,2016-03-30,20,50,48,59,28,21
1803,2016-03-26,04,29,08,49,38,50
1802,2016-03-23,06,14,02,17,44,13
1801,2016-03-19,19,45,43,06,54,34
1800,2016-03-16,31,56,16,06,11,19
1799,2016-03-12,53,01,03,04,51,39
1798,2016-03-10,09,28,45,02,23,53
1797,2016-03-08,02,57,35,13,54,14
1796,2016-03-05,54,22,48,34,23,53
1795,2016-03-02,55,50,42,58,47,30
1794,2016-02-27,01,05,37,60,34,40
1793,2016-02-24,56,13,22,54,14,58
1792,2016-02-20,47,41,18,17,02,16
1791,2016-02-17,55,12,50,18,53,46
1790,2016-02-13,28,13,11,26,50,27
1789,2016-02-10,57,59,06,25,43,58
1788,2016-02-06,42,45,56,13,03,59
1787,2016-02-04,01,29,13,25,05,26
1786,2016-02-02,34,08,02,21,25,06
1785,2016-01-30,27,05,42,54,41,11
1784,2016-01-27,30,15,54,55,26,04
1783,2016-01-23,38,16,21,04,18,06
1782,2016-01-20,34,57,47,18,06,52
1781,2016-01-16,22,08,52,01,53,49
1780,2016-01-14,20,06,33,22,31,34
1779,2016-01-12,25,56,30,12,39,57
1778,2016-01-09,04,38,48,10,45,40
1777,2016-01-06,55,04,44,38,19,52
1776,2016-01-02,39,11,48,14,19,10
1775,2015-12-31,31,02,51,42,18,56
1774,2015-12-26,01,52,30,60,20,12
1773,2015-12-24,45,41,39,30,15,59
